,a,b
0,,
1,,
2,"TABLAS DE CORRELACIÓN 
TIGIE FRACCIONES ARANCELARIAS",
3,TIGIE 2022 (SA 2022),TIGIE 2020 (SA 2017)
4,0101.21.01,0101.21.01
5,0101.29.02,0101.29.02
6,0101.29.03,0101.29.03
7,0101.29.99,0101.29.99
8,0101.30.01,0101.30.01
9,0101.90.99,0101.90.99
10,0102.21.01,0102.21.01
11,0102.29.01,0102.29.01
12,0102.29.02,0102.29.02
13,0102.29.99,0102.29.99
14,0102.31.01,0102.31.01
15,0102.39.99,0102.39.99
16,0102.90.99,0102.90.99
17,0103.10.01,0103.10.01
18,0103.91.01,0103.91.01
19,0103.91.99,0103.91.99
20,0103.92.01,0103.92.01
21,0103.92.99,0103.92.99
22,0104.10.01,0104.10.01
23,0104.10.99,0104.10.99
24,0104.20.01,0104.20.01
25,0104.20.02,0104.20.02
26,0104.20.99,0104.20.99
27,0105.11.03,0105.11.03
28,0105.11.99,0105.11.99
29,0105.12.01,0105.12.01
30,0105.13.01,0105.13.01
31,0105.14.01,0105.14.01
32,0105.15.01,0105.15.01
33,0105.94.01,0105.94.01
34,0105.94.99,0105.94.99
35,0105.99.99,0105.99.99
36,0106.11.01,0106.11.01
37,0106.11.99,0106.11.99
38,0106.12.01,0106.12.01
39,0106.13.01,0106.13.01
40,0106.14.01,0106.14.01
41,0106.19.02,0106.19.02
42,0106.19.99,0106.19.99
43,0106.20.04,0106.20.04
44,0106.31.01,0106.31.01
45,0106.32.01,0106.32.01
46,0106.33.01,0106.33.01
47,0106.39.99,0106.39.99
48,0106.41.01,0106.41.01
49,0106.49.99,0106.49.99
50,0106.90.02,0106.90.02
51,0106.90.03,0106.90.03
52,0106.90.04,0106.90.04
53,0106.90.99,0106.90.99
54,0201.10.01,0201.10.01
55,0201.20.91,0201.20.99
56,0201.30.01,0201.30.01
57,0202.10.01,0202.10.01
58,0202.20.91,0202.20.99
59,0202.30.01,0202.30.01
60,0203.11.01,0203.11.01
61,0203.12.01,0203.12.01
62,0203.19.99,0203.19.99
63,0203.21.01,0203.21.01
64,0203.22.01,0203.22.01
65,0203.29.99,0203.29.99
66,0204.10.01,0204.10.01
67,0204.21.01,0204.21.01
68,0204.22.91,0204.22.99
69,0204.23.01,0204.23.01
70,0204.30.01,0204.30.01
71,0204.41.01,0204.41.01
72,0204.42.91,0204.42.99
73,0204.43.01,0204.43.01
74,0204.50.01,0204.50.01
75,0205.00.01,0205.00.01
76,0206.10.01,0206.10.01
77,0206.21.01,0206.21.01
78,0206.22.01,0206.22.01
79,0206.29.99,0206.29.99
80,0206.30.01,0206.30.01
81,0206.30.99,0206.30.99
82,0206.41.01,0206.41.01
83,0206.49.01,0206.49.01
84,0206.49.99,0206.49.99
85,0206.80.91,0206.80.99
86,0206.90.91,0206.90.99
87,0207.11.01,0207.11.01
